abiko	○	
adachi	-	金額を載せていない（制度の説明のみ）
agano	○	
ageo	-	金額を載せていない（制度の説明のみ）
akashi	○	
akita	○	
ama	○	
amagasaki	○	
aomori	○	
asaka	○	
ashikaga	-	金額を載せていない（制度の説明のみ）
chigasaki	○	
chino	○	
chita	○	
ebina	!	資料に0〜2歳の区分が見当たらない
eniwa	○	
fuchu-hiroshima	○	
fuji	○	
fujieda	○	
fujimino	○	
fujioka	○	
fukuroi	○	
fukushima	○	
funabashi	○	
gifu	!	資料に0〜2歳の区分が見当たらない
ginowan	-	金額を載せていない（制度の説明のみ）
gyoda	○	
hachinohe	○	
handa	?	資料から文字を取れない（画像の資料。目で確かめたもの）
hasuda	○	
higashikurume	○	
higashiosaka	○	
hikone	○	
hioki	○	
hirakata	○	
hiratsuka	○	
hirosaki	-	金額を載せていない（制度の説明のみ）
hitachi	-	金額を載せていない（制度の説明のみ）
hitachinaka	-	金額を載せていない（制度の説明のみ）
hofu	○	
honjo	○	
ichikawa	-	金額を載せていない（制度の説明のみ）
iizuka	-	金額を載せていない（制度の説明のみ）
ikeda	○	
imabari	-	金額を載せていない（制度の説明のみ）
inazawa	○	
iruma	○	
ise	○	
isehara	○	
isesaki	-	金額を載せていない（制度の説明のみ）
ishigaki	-	金額を載せていない（制度の説明のみ）
ishinomaki	-	金額を載せていない（制度の説明のみ）
itoshima	-	金額を載せていない（制度の説明のみ）
iwamizawa	○	
iwata	○	
izumi	○	
izumiotsu	○	
joetsu	-	金額を載せていない（制度の説明のみ）
kadoma	○	
kariya	○	
kashiwa	○	
kasuga	○	
kasugai	-	金額を載せていない（制度の説明のみ）
katsushika	-	金額を載せていない（制度の説明のみ）
kawaguchi	!	資料に0〜2歳の区分が見当たらない
kawanishi	○	
kawasaki	○	
kimitsu	○	
kiryu	○	
kisarazu	○	
kishiwada	!	資料に0〜2歳の区分が見当たらない
kitakami	-	金額を載せていない（制度の説明のみ）
kizugawa	○	
kochi	○	
kofu	○	
kunitachi	○	全階層0円（無償）
kure	○	
kusatsu	-	金額を載せていない（制度の説明のみ）
kushiro	○	
maebashi	○	
masuda	○	
matsue	○	
matsumoto	○	
matsusaka	○	
miki	○	
minato	-	金額を載せていない（制度の説明のみ）
mishima	○	
miyazaki	○	
moka	-	金額を載せていない（制度の説明のみ）
moriya	-	金額を載せていない（制度の説明のみ）
moriyama	○	
munakata	-	金額を載せていない（制度の説明のみ）
murakami	○	
nagano	○	
nagaoka	○	
nagareyama	-	金額を載せていない（制度の説明のみ）
nagoya	○	
naha	!	資料に0〜2歳の区分が見当たらない
narashino	○	
narita	○	
nasushiobara	-	金額を載せていない（制度の説明のみ）
natori	○	
neyagawa	○	
niihama	○	
niiza	○	
nishio	○	
numazu	!	資料に0〜2歳の区分が見当たらない
obihiro	○	
obu	○	
ogaki	-	金額を載せていない（制度の説明のみ）
okazaki	○	
okegawa	○	
ono	○	
osakasayama	○	
ota-gunma	-	金額を載せていない（制度の説明のみ）
oyama	-	金額を載せていない（制度の説明のみ）
ryugasaki	○	
saga	○	
saijo	○	
sakata	-	金額を載せていない（制度の説明のみ）
sakura	○	
sanjo	!	資料に0〜2歳の区分が見当たらない
sano	-	金額を載せていない（制度の説明のみ）
sanuki	○	
sasebo	○	
satsumasendai	○	
sendai	○	
sennan	○	
shiraoka	○	
shunan	!	資料に0〜2歳の区分が見当たらない
sodegaura	○	
suginami	-	金額を載せていない（制度の説明のみ）
suita	○	
sumida	-	金額を載せていない（制度の説明のみ）
susono	○	
suzuka	○	
tagajo	○	
tahara	○	
tajimi	○	
takamatsu	!	資料に0〜2歳の区分が見当たらない
takaoka	-	金額を載せていない（制度の説明のみ）
takasaki	○	
tenri	○	
tochigi-city	-	金額を載せていない（制度の説明のみ）
tokai	○	
toki	○	
tomakomai	!	資料に0〜2歳の区分が見当たらない
tomigusuku	-	金額を載せていない（制度の説明のみ）
tomisato	○	
toride	-	金額を載せていない（制度の説明のみ）
tottori	○	
toyokawa	○	
tsu	!	資料に0〜2歳の区分が見当たらない
tsukuba	○	
tsurugashima	○	
tsuruoka	-	金額を載せていない（制度の説明のみ）
ube	○	
ueda	○	
urayasu	○	
uruma	-	金額を載せていない（制度の説明のみ）
wakayama	○	
wako	○	
yachiyo	○	
yamaga	○	
yamagata	○	
yamaguchi	○	
yao	○	
yokkaichi	-	金額を載せていない（制度の説明のみ）
yokosuka	○	
