slug	name
tsu	津市
kasukabe	春日部市
ichinomiya	一宮市
higashiosaka	東大阪市
okegawa	桶川市
toyama	富山市
kagoshima	鹿児島市
fukushima	福島市
toyota	豊田市
kanazawa	金沢市
nishitokyo	西東京市
tokorozawa	所沢市
amagasaki	尼崎市
iwaki	いわき市
nishinomiya	西宮市
takarazuka	宝塚市
ichikawa	市川市
okazaki	岡崎市
toyohashi	豊橋市
ageo	上尾市
saga	佐賀市
yamagata	山形市
moriguchi	守口市
yokkaichi	四日市市
wakayama	和歌山市
morioka	盛岡市
miyazaki	宮崎市
koshigaya	越谷市
takatsuki	高槻市
fukuoka	福岡市
koriyama	郡山市
kochi	高知市
neyagawa	寝屋川市
utsunomiya	宇都宮市
mito	水戸市
takasaki	高崎市
kumagaya	熊谷市
yao	八尾市
oita	大分市
kurashiki	倉敷市
niigata	新潟市
itami	伊丹市
akashi	明石市
kure	呉市
takamatsu	高松市
suita	吹田市
fukui	福井市
shimonoseki	下関市
funabashi	船橋市
toyonaka	豊中市
suzuka	鈴鹿市
nara	奈良市
obihiro	帯広市
naha	那覇市
fukaya	深谷市
fujimino	ふじみ野市
obu	大府市
konan	江南市
kawanishi	川西市
hamamatsu	浜松市
abiko	我孫子市
sagamihara	相模原市
tokushima	徳島市
kawagoe	川越市
toyokawa	豊川市
matsumoto	松本市
nagaokakyo	長岡京市
misato	三郷市
kofu	甲府市
gifu	岐阜市
kakogawa	加古川市
settsu	摂津市
kyoto	京都市
nagasaki	長崎市
ota	大田区
nasushiobara	那須塩原市
hikone	彦根市
aomori	青森市
chikushino	筑紫野市
ogaki	大垣市
machida	町田市
kurume	久留米市
higashihiroshima	東広島市
sendai	仙台市
matsudo	松戸市
hirakata	枚方市
kusatsu	草津市
kitakyushu	北九州市
suginami	杉並区
sayama	狭山市
hachioji	八王子市
ayase	綾瀬市
joetsu	上越市
edogawa	江戸川区
hatsukaichi	廿日市市
sasebo	佐世保市
setagaya	世田谷区
kobe	神戸市
adachi	足立区
ibaraki	茨木市
nisshin	日進市
