slug	都道府県	自治体名
sapporo	北海道	札幌市
sendai	宮城県	仙台市
saitama	埼玉県	さいたま市
chiba	千葉県	千葉市
yokohama	神奈川県	横浜市
kawasaki	神奈川県	川崎市
sagamihara	神奈川県	相模原市
niigata	新潟県	新潟市
shizuoka	静岡県	静岡市
hamamatsu	静岡県	浜松市
nagoya	愛知県	名古屋市
kyoto	京都府	京都市
osaka	大阪府	大阪市
sakai	大阪府	堺市
kobe	兵庫県	神戸市
okayama	岡山県	岡山市
hiroshima	広島県	広島市
kitakyushu	福岡県	北九州市
fukuoka	福岡県	福岡市
kumamoto	熊本県	熊本市
adachi	東京都	足立区
arakawa	東京都	荒川区
bunkyo	東京都	文京区
chiyoda	東京都	千代田区
chuo	東京都	中央区
edogawa	東京都	江戸川区
itabashi	東京都	板橋区
katsushika	東京都	葛飾区
kita	東京都	北区
koto	東京都	江東区
meguro	東京都	目黒区
minato	東京都	港区
nakano	東京都	中野区
nerima	東京都	練馬区
ota	東京都	大田区
setagaya	東京都	世田谷区
shibuya	東京都	渋谷区
shinagawa	東京都	品川区
shinjuku	東京都	新宿区
suginami	東京都	杉並区
sumida	東京都	墨田区
taito	東京都	台東区
toshima	東京都	豊島区
