slug	都道府県	自治体名	国調査R6.10.1の状態	押印必須(R5/R6)	既存記事slug	既存記事の様式URL
chitose	北海道	千歳市	３　活用するか検討中			
hachinohe	青森県	八戸市	２　令和８年度入所分から活用予定	必須		
rokunohe	青森県	六戸町	３　活用するか検討中	必須		
yokote	秋田県	横手市	１　令和７年度（５月以降）入所分から活用予定			
tendo	山形県	天童市	２　令和８年度入所分から活用予定			
ryugasaki	茨城県	龍ケ崎市	１　令和７年度（５月以降）入所分から活用予定			
tochigi-city	栃木県	栃木市	１　令和７年度（５月以降）入所分から活用予定			
takasaki	群馬県	高崎市	１　令和７年度（５月以降）入所分から活用予定			
isesaki	群馬県	伊勢崎市	１　令和７年度（５月以降）入所分から活用予定			
shibukawa	群馬県	渋川市	１　令和７年度（５月以降）入所分から活用予定			
tokorozawa	埼玉県	所沢市	１　令和７年度（５月以降）入所分から活用予定			
misato	埼玉県	三郷市	１　令和７年度（５月以降）入所分から活用予定			
hasuda	埼玉県	蓮田市	１　令和７年度（５月以降）入所分から活用予定			
ogano	埼玉県	小鹿野町	３　活用するか検討中	必須		
sosa	千葉県	匝瑳市	４　活用する予定はない			
chuo	東京都	中央区	４　活用する予定はない			
koto	東京都	江東区	３　活用するか検討中			
ota	東京都	大田区	１　令和７年度（５月以降）入所分から活用予定			
setagaya	東京都	世田谷区	３　活用するか検討中		shurou-shoumeisho	https://www.city.setagaya.lg.jp/01044/1561.html
edogawa	東京都	江戸川区	２　令和８年度入所分から活用予定			
musashino	東京都	武蔵野市	２　令和８年度入所分から活用予定			
inagi	東京都	稲城市	３　活用するか検討中			
hamura	東京都	羽村市	３　活用するか検討中			
nishitokyo	東京都	西東京市	３　活用するか検討中			
kawasaki	神奈川県	川崎市	３　活用するか検討中		shurou-shoumeisho	https://www.city.kawasaki.jp/450/page/0000153863.html
yamato	神奈川県	大和市	２　令和８年度入所分から活用予定			
niigata	新潟県	新潟市	１　令和７年度（５月以降）入所分から活用予定		shurou-shoumeisho	https://www.city.niigata.lg.jp/kosodate/ninshin/life_stage/azuketai/ninnkahoikushisetsu/R0804nyuen.html
kashiwazaki	新潟県	柏崎市	３　活用するか検討中			
takaoka	富山県	高岡市	１　令和７年度（５月以降）入所分から活用予定			
kanazawa	石川県	金沢市	２　令和８年度入所分から活用予定			
minami-alps	山梨県	南アルプス市	１　令和７年度（５月以降）入所分から活用予定	必須		
shinano	長野県	信濃町	１　令和７年度（５月以降）入所分から活用予定			
shizuoka	静岡県	静岡市	２　令和８年度入所分から活用予定		shurou-shoumeisho	https://www.city.shizuoka.lg.jp/s5783/s012259.html
numazu	静岡県	沼津市	１　令和７年度（５月以降）入所分から活用予定			
fujinomiya	静岡県	富士宮市	１　令和７年度（５月以降）入所分から活用予定			
toyohashi	愛知県	豊橋市	２　令和８年度入所分から活用予定		employment-certificate	https://www.city.toyohashi.lg.jp/65202.htm
toyota	愛知県	豊田市	２　令和８年度入所分から活用予定			
obu	愛知県	大府市	２　令和８年度入所分から活用予定			
nisshin	愛知県	日進市	１　令和７年度（５月以降）入所分から活用予定			
tsu	三重県	津市	２　令和８年度入所分から活用予定			
kuwana	三重県	桑名市	２　令和８年度入所分から活用予定			
