slug	判定	指摘
arao	○	
chiba	○	
chitose	○	
chuo	○	
daito	○	
edogawa	○	
fuchu-hiroshima	○	
fujinomiya	○	
fukuoka	○	
ginowan	○	
hachinohe	○	
hamamatsu	○	
hamura	○	
hasuda	○	
hatsukaichi	○	
higashihiroshima	○	
higashiosaka	○	
himeji	○	
hioki	○	
hiroshima	○	
iki	○	
inabe	○	
inagi	○	
isesaki	○	
kadoma	○	
kagamino	○	
kakogawa	○	
kanazawa	○	
kashiwazaki	○	
kawachinagano	○	
kawasaki	○	
kitakyushu	○	
kobe	○	
koryo	○	
koto	○	
kumamoto	○	
kuwana	○	
kyotanabe	○	
kyoto	○	
marugame	○	
minami-alps	○	
misato	○	
miyaki	○	
miyazaki	○	
muko	○	
musashino	○	
nagaokakyo	○	
nagoya	○	
naha	○	
nankoku	○	
niigata	○	
nishinomiya	○	
nishitokyo	○	
nisshin	○	
numazu	○	
obu	○	
ogano	○	
okayama	○	
osaka	○	
ota	○	
otsu	○	
rokunohe	○	
ryugasaki	○	
sagamihara	○	
saitama	○	
sakai	○	
sapporo	○	
sendai	○	
setagaya	○	
shibukawa	○	
shinano	○	
shizuoka	○	
sosa	○	
suita	○	
suzuka	○	
takaoka	○	
takasaki	○	
tendo	○	
tochigi-city	○	
tokorozawa	○	
toyohashi	○	
toyota	○	
tsu	○	
yamato	○	
yao	○	
yokohama	○	
yokote	○	
